Sexe;LS;L1-2;L1-3;L1-4;L1-5;L1-6;L1-7;L1-8;L1-9;L1-10;L2-3;L2-4;L2-5;L2-6;L2-7;L2-8;L2-9;L2-10;L3-4;L3-5;L3-6;L3-7;L3-8;L3-9;L3-10;L4-5;L4-6;L4-7;L4-8;L4-9;L4-10;L5-6;L5-7;L5-8;L5-9;L5-10;L6-7;L6-8;L6-9;L6-10;L7-8;L7-9;L7-10;L8-9;L8-10;L9-10
1;39.4404;3.3337;7.2746;10.1896;9.2696;9.5608;8.397;3.7688;3.8253;12.4797;3.9794;6.9703;5.9657;6.8134;5.7612;3.0709;3.5794;9.3259;4.0522;1.9954;3.9092;3.3979;5.2836;5.8424;5.4545;3.2615;6.8992;6.9399;9.1306;9.7087;6.0287;3.6377;3.7663;7.1005;7.6328;3.7274;1.1959;6.2453;6.5925;3.718;5.0495;5.4022;4.7721;0.5815;9.6156;10.0433
1;37.789;3.1372;6.9995;9.478;8.7965;9.3574;8.1188;3.7336;3.7749;12.193;3.9362;6.4547;5.7017;6.8357;5.6611;2.9467;3.3182;9.2347;3.9755;1.8124;3.7804;3.0403;4.8202;5.2274;5.3331;3.2867;6.9098;6.6574;8.4366;8.8685;6.1137;3.6234;3.4841;6.5369;6.9261;3.7841;1.2418;5.9709;6.1962;3.7895;4.7455;4.9872;4.7495;0.4345;9.2897;9.5944
1;37.4815;2.9502;7.0;10.0102;8.8654;9.2162;7.6833;3.7169;3.7087;12.1336;4.2025;7.0938;6.0132;7.0241;5.6028;3.2072;3.647;9.4743;4.336;1.8868;3.6994;2.9438;4.908;5.489;5.3026;3.3788;7.0445;6.9706;8.982999999999997;9.5762;6.0436;3.6689;3.7063;6.7065;7.2729;3.7633;1.544;5.8861;6.2756;3.7727;4.3558;4.7677;5.0539999999999985;0.5932;9.2709;9.7443
1;36.6192;3.2089;7.1619;9.9886;8.9819;9.5375;8.0854;3.6043;3.6114;12.0861;4.0514;6.8388;5.837999999999999;7.0668;5.6473;2.8944;3.3849;9.1265;4.0466;1.8296;3.9941;3.0282;4.9296;5.485;5.1343;3.1873;7.0283;6.6544;8.6967;9.278;5.8318;3.8483;3.5406;6.6704;7.205;3.6245;1.4546;6.1768;6.4933;3.579;4.7694;5.1226;4.5745;0.5847;9.1559;9.5829
1;36.0819;2.9889;6.9267;9.608;8.7737;9.585;7.8613;3.5256;3.6749;11.8212;3.9717;6.8009;5.797999999999999;7.0336;5.4642;2.9243;3.4232;8.9294;4.2462;1.8699;3.8667;3.0913;5.148;5.6347;4.9901;3.4704;7.0542;7.0556;8.9899;9.518;5.8507;3.5903;3.7332;6.9393;7.4029;3.3851;1.7902;6.6073;6.8749;3.3818;4.8172;5.0891;4.8669;0.5377;9.3918;9.7587
1;37.4473;3.0206;7.1651;9.95;9.1417;10.2081;8.2524;3.8094;3.9298;12.6979;4.178;7.0779;6.1347;7.6569;5.8568;3.0939;3.5682;9.774;4.2175;1.9976;4.3556;3.3857;5.2736;5.7757;5.6284;3.3411;7.3289;7.2377;9.1891;9.7205;6.0645;4.0039;4.0245;7.1671;7.6462;3.88;2.0167;6.9379;7.215;3.8449;4.9213;5.2065;5.4645;0.5377;10.0611;10.4454
1;37.9959;3.392;7.2297;10.3966;9.249;9.7211;7.9881;3.6425;3.6963;12.3388;3.9535;7.0395;5.9432;7.2361;5.6305;3.2527;3.7908;9.272;4.1477;2.0216;4.3499;3.4264;5.2543;5.8419;5.403;3.1332;7.2908;7.1248;9.2443;9.8517;5.8952;4.1688;4.0777;7.1304;7.6922;3.7432;1.7378;6.4;6.7279;3.7227;4.68;5.0372;5.04;0.6133;9.5052;9.9494
1;39.0397;3.2655;7.3867;10.1468;9.3956;10.2397;8.7503;3.9594;3.9823;13.0178;4.1954;6.9832;6.1767;7.6237;6.2855;3.3638;3.7733;9.9352;4.1946;2.0181;4.3441;3.6365;5.3944;5.8928;5.7778;3.4226;7.4279;7.3795;9.2936;9.8024;6.36;4.0079;4.0592;7.2709;7.7539;4.0079;1.5453;6.7985;7.1241;3.9751;5.2534;5.5806;5.2678;0.5088;10.1793;10.588
1;36.5332;3.1045;6.9362;9.6937;8.6421;9.2813;7.8414;3.4975;3.5734;11.8436;3.883;6.7297;5.5520000000000005;6.7124;5.4305;2.814;3.3527;8.8698;4.1815;1.7652;3.7012;3.1311;4.9425;5.5105;5.017;3.161;6.9126;6.9998;8.7663;9.3684;5.7295;3.7659;3.8997;6.6804;7.2355;3.6512;1.5029;6.1683;6.5056;3.614;4.6685;5.0033;4.8986;0.6061;9.2296;9.6757
1;39.9136;3.4022;7.3515;10.5022;9.4416;10.051;8.3947;4.1515;4.2694;12.6608;4.0285;7.1886;6.0883;7.3199;5.8346;3.3295;3.9123;9.4666;4.3781;2.0989;4.1619;3.3911;5.0924;5.7205;5.4848;3.3893;7.2368;7.2891;9.3014;9.9567;6.0014;3.8584;3.9966;7.0258;7.6179;3.6936;1.7029;6.3431;6.6866;3.6588;4.6407;4.9971;5.0941;0.6659;9.498;9.9578
